"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\refer_and_earn\refer_and_earn_screen.dart", "Dart", 23, -16, -4, 3
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\resources\assets.gen.dart", "Dart", 5, 2, 2, 9
"Total", "-", 28, -14, -2, 12
