"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\core\app_routes.dart", "Dart", 5, 0, 0, 5
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\splash_screen.dart", "Dart", 5, 0, 1, 6
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\resources\assets.gen.dart", "Dart", 12, 4, 4, 20
"Total", "-", 22, 4, 5, 31
