"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\refer_and_earn\refer_and_earn_screen.dart", "Dart", 145, 4, 10, 159
"Total", "-", 145, 4, 10, 159
